hcp_id,hcp_name,specialty_group,sub_specialty,affiliated_account_id,affiliated_hospital,region,territory,channel_preference,consent_status,preferred_language,digital_engagement_tier,speaker_potential_flag,publication_activity_level,first_seen_date,last_updated_date
HCP0001,Edward Fuller,Immunology,Rheumatology,ACC012,Dudley Group,South,T06,Rep Visit,Opted-out,English,Low,1,High,2025-04-12,2026-04-20
HCP0002,Heidi Lee,Cardiology,Heart Failure,ACC006,"Gardner, Robinson and Lawrence",Midwest,T04,Rep Visit,Opted-in,Spanish,Low,0,Low,2022-11-10,2026-02-10
HCP0003,Matthew Mejia,Cardiology,Heart Failure,ACC003,"Mcclain, Miller and Henderson",West,T06,Email,Opted-out,Spanish,High,1,High,2023-05-30,2026-01-03
HCP0004,Dr. Sharon James,Cardiology,Interventional Cardiology,ACC008,"Henderson, Ramirez and Lewis",Northeast,T01,Virtual,Pending,English,Low,1,Medium,2022-11-20,2026-04-27
HCP0005,Roy Martin,Oncology,Breast Oncology,ACC005,"Guzman, Hoffman and Baldwin",Midwest,T01,Rep Visit,Pending,English,High,1,High,2024-11-05,2026-02-20
HCP0006,Michael Miles,Oncology,Thoracic Oncology,ACC010,Abbott-Munoz,Southeast,T04,Email,Pending,English,Medium,0,Low,2024-01-14,2026-03-20
HCP0007,Andrea Reid,Oncology,Hematology Oncology,ACC004,Davis and Sons,Southeast,T06,Email,Opted-in,Spanish,Low,0,Low,2024-08-31,2026-05-21
HCP0008,Danielle Ford,Oncology,Thoracic Oncology,ACC011,Blair PLC,West,T02,Mixed,Opted-in,English,High,1,Medium,2024-02-04,2026-04-23
HCP0009,Timothy Watts,Cardiology,Heart Failure,ACC004,Davis and Sons,Northeast,T06,Rep Visit,Opted-in,English,Medium,0,High,2025-02-08,2026-02-28
HCP0010,Frederick Tate,Cardiology,Electrophysiology,ACC009,Garcia-James,Northeast,T02,Email,Pending,English,Low,0,Low,2023-11-08,2026-01-19
HCP0011,Rodney Trujillo,Cardiology,Electrophysiology,ACC008,"Henderson, Ramirez and Lewis",Midwest,T01,Mixed,Opted-in,English,High,1,Low,2024-08-26,2026-04-15
HCP0012,Austin Gentry,Oncology,Hematology Oncology,ACC007,Blake and Sons,Northeast,T02,Mixed,Opted-out,Spanish,Medium,1,High,2022-04-21,2026-01-26
HCP0013,Michelle Lewis,Oncology,Thoracic Oncology,ACC007,Blake and Sons,Midwest,T02,Email,Opted-in,English,Low,1,Low,2024-05-14,2026-02-16
